month_index,t,forecast_Current,actual_Current,forecast_30 DPD,actual_30 DPD,forecast_60 DPD,actual_60 DPD,forecast_90+ DPD,actual_90+ DPD,forecast_Default,actual_Default,forecast_Prepaid,actual_Prepaid
24291,1,0.904252106905343,0.9131382243362935,0.007894310326862395,0.009208707266208965,0.002604598694859704,0.0017339550577594488,0.0020903442358333434,0.0014996368067108747,0.0643054506001795,0.0642734962626239,0.018853189236922124,0.010145980270403261
24292,2,0.8899717529151591,0.9080769501136443,0.0074718984061295695,0.009044684490474963,0.002462635042553845,0.0016402277573400192,0.0027084072213135026,0.0013824776811865876,0.06470371873666345,0.06450781451367248,0.03268158767818046,0.015347845443681608
24293,3,0.8758461116356122,0.9040701080207137,0.007256751236305523,0.007240433957400942,0.0023466893633744693,0.001851114183283736,0.0030380958908987118,0.001171591255242871,0.0652185591708662,0.06474213276472104,0.0462937927029428,0.020924619818637673
24294,4,0.8619329720233534,0.8945567870281417,0.007107935218010111,0.010638048597605268,0.0022779058307185124,0.00208543243433231,0.0031933290183415964,0.0013824776811865876,0.06579555355806506,0.06490615554045505,0.059692304351511245,0.026431098718279165
24295,5,0.8482442673393228,0.8901984675586382,0.006983827147530065,0.008248002436909811,0.0022312606723629124,0.00217915973475174,0.003259066801086317,0.0014762049816060172,0.06640178942122874,0.06507017831618905,0.07287978861846905,0.03282798697190524
24296,6,0.8347794743143244,0.8839421702556413,0.006869791926344768,0.00890409353984582,0.0021933764169325357,0.0018276823581788784,0.0032778344815369595,0.0013356140309768727,0.06702038091114833,0.06518733744171333,0.08585914194971284,0.038803102373643886
24297,7,0.8215344987788863,0.8783419640555803,0.006760385918120866,0.0085291843381681,0.0021587825663781477,0.0019917051339128806,0.003270485717146281,0.001569932282025447,0.06764246427687244,0.06535136021744734,0.0986333827425957,0.04421585397286595
24298,8,0.8085044810623879,0.872319985003632,0.00665358154693904,0.008950957190055533,0.0021254399305022506,0.0017339550577594488,0.003247806040181917,0.0018042505330740212,0.0682631103686834,0.06563254211870563,0.11120558105130521,0.04955831009677344
24299,9,0.7956846781800615,0.8659699604002156,0.006548644822235369,0.00988823019424983,0.0020926531271552107,0.0018979778334934508,0.0032157789327553286,0.0016636595824448767,0.06887942547283075,0.06577313306933477,0.12357881946496158,0.0548070389202615
24300,10,0.783070686672196,0.8615413454553975,0.006445325287924263,0.008927525364950676,0.002060224549827213,0.0018042505330740212,0.0031779473382367446,0.0014762049816060172,0.06948964531899231,0.0660308831454882,0.13575617083282313,0.06021979051948356
24301,11,0.7706584476670237,0.8575813670126766,0.006343546080608346,0.0085291843381681,0.002028127822304685,0.0018276823581788784,0.0031365188909178205,0.001405909506291445,0.07009267452270482,0.06619490592122221,0.1477406850164403,0.06446095086346275
24302,12,0.7584441921697982,0.8527075473908663,0.006243287232103951,0.008810366239426388,0.0019963865270923075,0.002062000609227453,0.003092918779371954,0.0014762049816060172,0.07068783453965162,0.06633549687185135,0.15953538075198145,0.06860838390702252
24303,13,0.7464243804013084,0.8490990463247182,0.006144543344818597,0.008271434262014668,0.0019650318497572415,0.0018042505330740212,0.0030480878761216133,0.001405909506291445,0.0712747159468088,0.06656981512289992,0.17114324058118482,0.07284954425100171
24304,14,0.7345956508700843,0.844037772102069,0.006047309432021525,0.008248002436909811,0.0019340896739883982,0.0016402277573400192,0.003002655316272529,0.001171591255242871,0.07185308699461403,0.06671040607352907,0.18256720771301885,0.0781920003749092
24305,15,0.7229547815858588,0.838296974951379,0.0059515770731982,0.008037116010966095,0.0019035781089907203,0.001851114183283736,0.002957044352918807,0.0009372730041942967,0.07242283473941105,0.06692129249947279,0.1938101841396219,0.08395622935070413
24306,16,0.7114986617699608,0.8320406776483821,0.005857334092916368,0.008037116010966095,0.0018735083137927024,0.0017339550577594488,0.002911540076970225,0.0012184549054525856,0.07298392616291491,0.06706188345010193,0.2048750295834444,0.08990791292733791
24307,17,0.7002242716314159,0.82744803992783,0.0057645652547298224,0.007099843006771797,0.0018438860591066437,0.001569932282025447,0.002866333973860695,0.0011950230803477284,0.07353638207952165,0.06724933805094079,0.21576456100136474,0.09543782365208427
24308,18,0.6891286680245251,0.8201373104951145,0.005673253097806718,0.008060547836070952,0.0018147131930961902,0.0018745460083885934,0.0028215537626574377,0.001171591255242871,0.07408025945804463,0.06738992900156993,0.22648155246386942,0.10136607540361318
