pair,statistic,dof,p_value,alpha_bonferroni,reject_H0
2016 vs 2017,115.65550241213634,17,1.0319395454139911e-16,0.005555555555555556,True
2017 vs 2018,211.53765876594653,19,1.704554550773721e-34,0.005555555555555556,True
2018 vs 2019,4282.289910856024,19,0.0,0.005555555555555556,True
2019 vs 2020,19344.72184229355,20,0.0,0.005555555555555556,True
2020 vs 2021,2969.7193891749507,20,0.0,0.005555555555555556,True
2021 vs 2022,6469.446352811466,20,0.0,0.005555555555555556,True
2022 vs 2023,1348.1264495050107,20,1.4535587732186004e-273,0.005555555555555556,True
2023 vs 2024,26.25568704184724,19,0.12322077167990708,0.005555555555555556,False
pre-2020 vs 2020+,35627.6016871507,20,0.0,0.005555555555555556,True
