state_i,m_i,PD_i_pred,DR_i_actual,DR_i_ci_low,DR_i_ci_high,PD_diff,PR_i_pred,PR_i_actual,PR_i_ci_low,PR_i_ci_high,PR_diff
Current,39195,0.0041275046409505285,0.0008674575838754944,0.0006208571952670734,0.0012118872468401065,0.0032600470570750342,0.16644997886266136,0.0683505549177191,0.06589440420991093,0.07089130830798158,0.09809942394494225
30 DPD,392,0.13179810245597007,0.03826530612244898,0.02332417644010772,0.06216828036700865,0.09353279633352109,0.1595633258683282,0.09693877551020408,0.07144194367884962,0.13025865397598127,0.06262455035812411
60 DPD,84,0.38892905561674007,0.15476190476190477,0.09273310465265512,0.2469864221098481,0.2341671508548353,0.12403082847197523,0.07142857142857142,0.03314580993583533,0.14719567156244456,0.05260225704340381
90+ DPD,70,0.5661753344587207,0.5428571428571428,0.42698259205475575,0.6542725740243641,0.023318191601577887,0.09310156426099576,0.0,0.0,0.05202306241026692,0.09310156426099576
